bookrow_id,bookstoreid,storeid,storenumber,storedisplayname,termid,termname,termnumber,programid,programname,campusid,campusname,department,departmentname,division,divisionname,courseid,coursename,section,sectionname,instructor,schoolname,cmid,mtcid,bookimage,title,edition,author,isbn,materialtype,requirementtype,publisher,publishercode,productcatentryid,copyrightyear,pricerangedisplay,booklink,store_url,user_guid,course_codes,created_on,last_updated_on,code
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,100,100,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/1450538681_t.gif,Miseducation of the Negro,10,"woodson,cartergodwin",9781450538688, ,REQUIRED,CREATESPAC, , , ,$9.32, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_100_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,100,100,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/M002296579_t.gif,Africana Studies: A Survey of Africa and the African Diaspora,4TH 19,"azevedo,mario",9781594607325, ,REQUIRED,CAROLINA A, , , ,$70.00, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_100_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,113,113,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/1319064868_t.gif,Confessions of Nat Turner: And Related Documents,2ND 17,"greenberg,kenneths.",9781319064860, ,REQUIRED,MAC HIGHER, , , ,$26.26, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_113_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,113,113,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/1319048897_t.gif,"Narrative of the Life of Frederick Douglass: An American Slave, Written by Himself",3RD 17,"douglass,davidw.",9781319048891, ,REQUIRED,MAC HIGHER, , , ,$26.26, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_113_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,113,113,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0135572029_t.gif,"African-American Odyssey, Volume 1",7TH 20,"hine,darleneclark",9780135572023, ,REQUIRED,RENT PEARS, , , ,$53.99, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_113_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,113,113,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0669249912_t.gif,"Major Problems in African-American History, Volume I : From Slavery to Freedom, 1619-1877",00,"holt,thomasc./brown,elsabarkley/paterson,thomasg.",9780669249910, ,REQUIRED,CENGAGE L, , , ,$122.72, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_113_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,113,113,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0486419312_t.gif,Incidents in the Life of a Slave Girl,01,"jacobs,harriet",9780486419312, ,REQUIRED,DOVER, , , ,$5.20, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_113_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,114,114,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0135570883_t.gif,"African-American Odyssey, Volume 2",7TH 20,"hine,darleneclark",9780135570883, ,REQUIRED,RENT PEARS, , , ,$53.99, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_114_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,114,114,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0669462934_t.gif,"Major Problems in African-American History, Volume II : From Freedom to Freedom Now, 1865-1990s",00,"holt,thomasc./brown,elsabarkley/paterson,thomas(eds.)",9780669462937, ,REQUIRED,CENGAGE L, , , ,$122.72, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_114_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,114,114,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0380015811_t.gif,"Three Negro Classics: Up from Slavery, The Souls of Black Folk and The Autobiography of an Ex-Colored Man",65,"washington,bookert./dubois,w.e.b./johnson,jamesweldon",9780380015818, ,REQUIRED,HARP PUB, , , ,$7.99, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_114_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,114,114,01,01, ,SUNY Brockport Official Bookstore, , ,/_ui/responsive/common/images/image-not-found.png,"African-american Odyssey, Volume 2-access",7TH 17,hine,8220127892650, ,eBookOption,PEARSON+, , , ,$39.96, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:17,2022-8-24 9:45:17,763_1_22_F_5_114_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,215,215,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0521435447_t.gif,"Liberties Lost: Caribbean Ingigenous Societies and Slave Systems, Vol. 1",05,"beckles,hilary",9780521435444, ,REQUIRED,CAMB, , , ,$23.03, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_215_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,215,215,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/9780521435451_t.gif,Freedoms Won,07,beckles,9780521435451, ,REQUIRED,CAMB, , , ,$24.50, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_215_1
 , ,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,232,232,01,01, ,SUNY Brockport Official Bookstore, , ,,,,,, , ,, , , ,, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_232_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,235,235,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0345806549_t.gif,Go Tell It on the Mountain,13,"baldwin,james",9780345806543, ,REQUIRED,PENG RAND, , , ,$8.99, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_235_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,235,235,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0140184023_t.gif,Autobiography of an Ex-Colored Man,90,"johnson,jamesweldon/andrews,williaml.(ed.)",9780140184020, ,REQUIRED,PENG RAND, , , ,$13.00, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_235_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,235,235,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/006053348x_t.gif,Native Son (Abridged),66,"wright,richarda.",9780060533489, ,REQUIRED,HARP PUB, , , ,$26.50, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_235_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,235,235,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0060838671_t.gif,"Their Eyes Were Watching God, 75th Anniversary Edition",37,"hurston,zoraneale",9780060838676, ,REQUIRED,HARP PUB, , , ,$17.99, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_235_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,235,235,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0451529944_t.gif,Narrative of the Life of Frederick Douglass: An American Slave,05,"douglass,f./gomes,p.(introduction)/stephens,g.(afterword)",9780451529947, ,REQUIRED,PENG RAND, , , ,$4.95, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_235_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,235,235,01,01, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0140390510_t.gif,Up from Slavery,86,"washington,bookert.",9780140390513, ,REQUIRED,PENG RAND, , , ,$12.00, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_235_1
 ,,18052, ,SUNY Brockport Official Bookstore,763_1_22_F,Fall 2022, , , ,763,SUNY Brockport Official Bookstore,763_1_5,AAS, , ,235,235,01X,01X, ,SUNY Brockport Official Bookstore, , ,https://bookinfo.mbsdirect.net/TextbookInfo/Thumb/0345806549_t.gif,Go Tell It on the Mountain,13,"baldwin,james",9780345806543, ,REQUIRED,PENG RAND, , , ,$8.99, ,https://brockport.bncollege.com/, , ,2022-8-24 9:45:18,2022-8-24 9:45:18,763_1_22_F_5_235_2
